rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
6812,content_3dd595f1c364,client_19581e27de,3616,22,13.0,0.11,0.0,low_ctr_visible_page,title_meta_rewrite,1
6813,content_d1c9dabdb14b,client_f369cb89fc,278,8,4.3,1.44,0.0,general_monitoring,monitor_performance,1
6814,content_cb07f62370ae,client_19581e27de,268,22,8.0,1.12,0.0,general_monitoring,monitor_performance,1
6815,content_1ade140a12ba,client_6208ef0f77,3051,20,8.9,0.29,0.0,low_ctr_visible_page,title_meta_rewrite,0
6816,content_714ced6a5982,client_6208ef0f77,2610,104,19.3,0.08,0.0,low_ctr_visible_page,title_meta_rewrite,1
6817,content_f136bd20680a,client_19581e27de,33249,104,7.6,0.07,0.0,page_one_decay_risk,title_meta_rewrite,1
6818,content_0fd688a63532,client_4e07408562,450,104,14.4,0.0,0.0,general_monitoring,title_meta_rewrite,1
6819,content_ef98c1cfce79,client_d029fa3a95,444,20,28.1,0.23,0.0,general_monitoring,title_meta_rewrite,1
6820,content_063b45493d44,client_f369cb89fc,6,20,8.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
6821,content_e6c73e4d4b59,client_e29c9c180c,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
